base_mae,boundary,boundary_explanation_strength,boundary_factor,boundary_role,cooldown_support_span,corr_mae,delta_obs,delta_pct,effective_tau_steps,fitted_residual_params,group,nonharm,rule,rule_explanation_strength,rule_role,scale,tau_source,test_curve,test_label,uses_target_loss,win
0.002504818961791151,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.002293148454145496,128,-8.450531191056342,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,25,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_18.csv,WSD-con 18e-5,0,1
0.004428106847791531,linear_support,strong,0.0,recommended_boundary,21840,0.004428106847791531,128,0.0,256.0,0,extra_control,1,support_linear_bracket,strong,recommended,25,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",cosine_24000.csv,Cosine 24k,0,0
0.003761619732988638,linear_support,strong,0.0,recommended_boundary,0,0.003761619732988638,128,0.0,128.0,0,extra_control,1,support_linear_bracket,strong,recommended,25,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",constant_24000.csv,Constant 24k,0,0
0.0015795124507172926,linear_support,strong,0.0,recommended_boundary,0,0.0015795124507172926,128,0.0,128.0,0,extra_control,1,support_linear_bracket,strong,recommended,25,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",constant_72000.csv,Constant 72k,0,0
0.0037480705220761528,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.002957866925660198,128,-21.08294365758733,256.0,0,core_wsd,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsd_20000_24000.csv,WSD sharp,0,1
0.003248313740665229,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.0025059266490955086,128,-22.85453779528345,256.0,0,core_wsd,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdld_20000_24000.csv,WSD linear,0,1
0.0056693997340904675,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.005041396816968526,128,-11.077061886212036,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_3.csv,WSD-con 3e-5,0,1
0.004934623402238123,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.004624132743663764,128,-6.2920841828281056,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_9.csv,WSD-con 9e-5,0,1
0.0013816404339982303,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.0012653245996598833,128,-8.41867619650859,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_18.csv,WSD-con 18e-5,0,1
0.0032781062167547585,linear_support,strong,0.0,recommended_boundary,21840,0.0032781062167547585,128,0.0,256.0,0,extra_control,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",cosine_24000.csv,Cosine 24k,0,0
0.001848699219840022,linear_support,strong,0.0,recommended_boundary,0,0.001848699219840022,128,0.0,128.0,0,extra_control,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",constant_24000.csv,Constant 24k,0,0
0.004776169698442608,linear_support,strong,0.0,recommended_boundary,0,0.004776169698442608,128,0.0,128.0,0,extra_control,1,support_linear_bracket,strong,recommended,100,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",constant_72000.csv,Constant 72k,0,0
0.004701998914275349,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.00377928904440882,128,-19.623778879768906,256.0,0,core_wsd,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsd_20000_24000.csv,WSD sharp,0,1
0.0038535563963712593,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.002987769755480256,128,-22.467210852455153,256.0,0,core_wsd,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdld_20000_24000.csv,WSD linear,0,1
0.008173606778800102,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.007432257528230927,128,-9.070038119426227,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_3.csv,WSD-con 3e-5,0,1
0.006687305974578527,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.006131286705620363,128,-8.314548056748784,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_9.csv,WSD-con 9e-5,0,1
0.0025579541942073844,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.002296486768436446,128,-10.22173994995863,130.0,0,core_wsd,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",wsdcon_18.csv,WSD-con 18e-5,0,1
0.007134640765897494,linear_support,strong,0.0,recommended_boundary,21840,0.007134640765897494,128,0.0,256.0,0,extra_control,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",cosine_24000.csv,Cosine 24k,0,0
0.001679822173746335,linear_support,strong,0.0,recommended_boundary,0,0.001679822173746335,128,0.0,128.0,0,extra_control,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",constant_24000.csv,Constant 24k,0,0
0.004118245803084534,linear_support,strong,0.0,recommended_boundary,0,0.004118245803084534,128,0.0,128.0,0,extra_control,1,support_linear_bracket,strong,recommended,400,"Delta_obs * (1 + min(1, ell_down / Delta_obs))",constant_72000.csv,Constant 72k,0,0
0.003408385839825258,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.002753306243810152,128,-19.2196431624857,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.0031360955249893426,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.0024096826835226784,128,-23.162969229680364,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.004487187642230267,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.003952854398972248,128,-11.907976350916305,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.002926482771138891,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.002643621992326077,128,-9.665554214171369,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.002504818961791151,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.0022955938345550347,128,-8.3529041590496,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.004428106847791531,none,strong,1.0,ablation_no_adiabatic_boundary,21840,0.004389325408371135,128,-0.875801798679221,256.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,cosine_24000.csv,Cosine 24k,0,1
0.003761619732988638,none,strong,1.0,ablation_no_adiabatic_boundary,0,0.003761619732988638,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_24000.csv,Constant 24k,0,0
0.0015795124507172926,none,strong,1.0,ablation_no_adiabatic_boundary,0,0.0015795124507172926,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_72000.csv,Constant 72k,0,0
0.0037480705220761528,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.0028399125242727823,128,-24.230013615120516,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.003248313740665229,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.00233947214425925,128,-27.978873623822288,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.0056693997340904675,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.005056196111410382,128,-10.816023766905214,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.004934623402238123,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.004627702097830964,128,-6.219751324243983,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.0013816404339982303,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.0012636675474481565,128,-8.538609876136915,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0032781062167547585,none,strong,1.0,ablation_no_adiabatic_boundary,21840,0.003189772706942728,128,-2.6946506297004125,256.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,cosine_24000.csv,Cosine 24k,0,1
0.001848699219840022,none,strong,1.0,ablation_no_adiabatic_boundary,0,0.001848699219840022,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_24000.csv,Constant 24k,0,0
0.004776169698442608,none,strong,1.0,ablation_no_adiabatic_boundary,0,0.004776169698442608,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_72000.csv,Constant 72k,0,0
0.004701998914275349,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.003641153342705263,128,-22.561586910395505,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.0038535563963712593,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.002834928350061145,128,-26.43345371224658,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.008173606778800102,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.007449651733812663,128,-8.857228694499508,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.006687305974578527,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.006144020350588579,128,-8.124132887820934,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.0025579541942073844,none,strong,1.0,ablation_no_adiabatic_boundary,2,0.0022983741390604127,128,-10.14795557069802,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.007134640765897494,none,strong,1.0,ablation_no_adiabatic_boundary,21840,0.008367554882554126,128,17.280675469321103,256.0,0,extra_control,0,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,cosine_24000.csv,Cosine 24k,0,0
0.001679822173746335,none,strong,1.0,ablation_no_adiabatic_boundary,0,0.001679822173746335,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_24000.csv,Constant 24k,0,0
0.004118245803084534,none,strong,1.0,ablation_no_adiabatic_boundary,0,0.004118245803084534,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_72000.csv,Constant 72k,0,0
0.003408385839825258,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.0028126899175170404,128,-17.477361727883423,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.0031360955249893426,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.002528403286744869,128,-19.377351021427792,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.004487187642230267,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.00395286397640606,128,-11.907762911350684,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.002926482771138891,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.002643624266055623,128,-9.665476519213833,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.002504818961791151,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.0022955958294938223,128,-8.35282451501872,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.004428106847791531,linear_support,strong,0.0,recommended_boundary,21840,0.004428106847791531,128,0.0,256.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,cosine_24000.csv,Cosine 24k,0,0
0.003761619732988638,linear_support,strong,0.0,recommended_boundary,0,0.003761619732988638,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_24000.csv,Constant 24k,0,0
0.0015795124507172926,linear_support,strong,0.0,recommended_boundary,0,0.0015795124507172926,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,25,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_72000.csv,Constant 72k,0,0
0.0037480705220761528,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.002957866925660198,128,-21.08294365758733,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.003248313740665229,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.0025059266490955086,128,-22.85453779528345,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.0056693997340904675,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.005056284724650654,128,-10.814460757690325,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.004934623402238123,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.00462770058842279,128,-6.219781912356814,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.0013816404339982303,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.001263647936904179,128,-8.54002924281836,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0032781062167547585,linear_support,strong,0.0,recommended_boundary,21840,0.0032781062167547585,128,0.0,256.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,cosine_24000.csv,Cosine 24k,0,0
0.001848699219840022,linear_support,strong,0.0,recommended_boundary,0,0.001848699219840022,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_24000.csv,Constant 24k,0,0
0.004776169698442608,linear_support,strong,0.0,recommended_boundary,0,0.004776169698442608,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,100,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_72000.csv,Constant 72k,0,0
0.004701998914275349,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.00377928904440882,128,-19.623778879768906,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.0038535563963712593,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.002987769755480256,128,-22.467210852455153,256.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.008173606778800102,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.007449751386603718,128,-8.856009492331463,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.006687305974578527,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.006144092500484557,128,-8.123053979569207,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.0025579541942073844,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.0022983669135595666,128,-10.148238042560198,128.0,0,core_wsd,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.007134640765897494,linear_support,strong,0.0,recommended_boundary,21840,0.007134640765897494,128,0.0,256.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,cosine_24000.csv,Cosine 24k,0,0
0.001679822173746335,linear_support,strong,0.0,recommended_boundary,0,0.001679822173746335,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_24000.csv,Constant 24k,0,0
0.004118245803084534,linear_support,strong,0.0,recommended_boundary,0,0.004118245803084534,128,0.0,128.0,0,extra_control,1,support_hard_two_obs,medium,stepwise_reference,400,Delta_obs if ell_down < Delta_obs else 2 * Delta_obs,constant_72000.csv,Constant 72k,0,0
0.003408385839825258,none,strong,1.0,ablation_no_adiabatic_boundary,4000,0.002753306243810152,128,-19.2196431624857,256.0,0,core_wsd,1,support_sqrt_bracket,weaker,nonlinear_reference,25,"Delta_obs * (1 + min(1, sqrt(ell_down / Delta_obs)))",wsd_20000_24000.csv,WSD sharp,0,1
